rule_id,item_id,task,region,input_snippet,activated,vetoed,router_type,item_features,matched_pos_tags,matched_neg_tags,candidate_status,accepted
gs_arc_circle_v1,geometric_shapes_0048,geometric_shapes,easy,"This SVG path element <path d=""M 40.99,29.44 L 35.53,38.54 L 29.62,35.00 M 29.62,35.00 L 35.07,25.90 L 32.79,24.53 L 43.98,18.25 L 43.26,30.80 L 40.99,29.44""/> draws a
Options:
(A) circle
(B) heptagon",False,True,feature,"['line_only', 'multi_subpath', 'n_vertices_8', 'open_path']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0096,geometric_shapes,easy,"This SVG path element <path d=""M 38.00,62.00 L 48.00,60.00 L 51.00,49.00 L 54.00,60.00 L 65.00,62.00 L 54.00,64.00 L 51.00,74.00 L 48.00,64.00 L 38.00,62.00""/> draws a
Options:
(A) circle
(B) heptagon",False,True,feature,"['line_only', 'open_path']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0024,geometric_shapes,other,"This SVG path element <path d=""M 12.89,27.63 L 16.46,21.41 M 16.46,21.41 L 23.97,19.93 M 23.97,19.93 L 28.27,16.91 L 36.05,18.39 L 35.28,28.22 M 35.28,28.22 L 27.40,36.33 L 25.21,26.77 L 12.89,27.63""/",False,True,feature,"['line_only', 'multi_subpath', 'open_path']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0015,geometric_shapes,private,"This SVG path element <path d=""M 48.48,23.04 L 30.68,44.97 M 30.68,44.97 A 28.25,28.25 317.18 0,1 20.40,19.91 L 48.48,23.04""/> draws a
Options:
(A) circle
(B) heptagon
(C) hexagon
(D) kite
(E) line
(F",False,True,feature,"['line_only', 'multi_subpath', 'n_vertices_3', 'open_path', 'triangle_candidate']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0070,geometric_shapes,easy,"This SVG path element <path d=""M 21.22,43.76 L 13.59,7.93 L 49.15,35.84 M 49.15,35.84 L 21.22,43.76""/> draws a
Options:
(A) circle
(B) heptagon
(C) hexagon
(D) kite
(E) line
(F) octagon
(G) pentagon
(",False,True,feature,"['line_only', 'multi_subpath', 'n_vertices_4', 'open_path', 'quadrilateral_candidate']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0066,geometric_shapes,shared,"This SVG path element <path d=""M 41.97,21.34 L 12.23,35.25 M 12.23,35.25 L 4.62,18.98 L 34.36,5.07 L 41.97,21.34""/> draws a
Options:
(A) circle
(B) heptagon
(C) hexagon
(D) kite
(E) line
(F) octagon
(",False,True,feature,"['line_only', 'multi_subpath', 'n_vertices_5', 'open_path']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0037,geometric_shapes,other,"This SVG path element <path d=""M 20.00,24.00 L 39.00,57.00 L 82.00,55.00 L 20.00,24.00""/> draws a
Options:
(A) circle
(B) heptagon
(C) hexagon
(D) kite
(E) line
(F) octagon
(G) pentagon
(H) rectangle
",False,True,feature,"['line_only', 'n_vertices_4', 'open_path', 'quadrilateral_candidate']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0105,geometric_shapes,other,"This SVG path element <path d=""M 67.45,49.24 L 80.19,21.11 M 80.19,21.11 L 55.88,0.55 M 55.88,0.55 L 24.51,8.49 M 24.51,8.49 L 20.74,44.80 M 20.74,44.80 L 42.70,57.61 M 42.70,57.61 L 67.45,49.24""/> dr",False,True,feature,"['line_only', 'multi_subpath', 'n_vertices_7', 'open_path']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0081,geometric_shapes,easy,"This SVG path element <path d=""M 32.73,47.82 L 41.38,48.00 M 41.38,48.00 L 45.88,39.43 M 45.88,39.43 L 46.35,49.10 L 55.09,52.77 M 55.09,52.77 L 45.61,52.41 L 41.30,60.14 L 40.64,51.31 L 32.73,47.82""/",False,True,feature,"['line_only', 'multi_subpath', 'open_path']",[],['line_only'],no_activation,False
gs_arc_circle_v1,geometric_shapes_0144,geometric_shapes,other,"This SVG path element <path d=""M 32.89,79.13 L 31.58,55.83 L 49.27,39.23 L 79.90,39.52 L 95.17,63.31 M 95.17,63.31 L 97.28,82.95 L 68.07,99.60 L 32.89,79.13""/> draws a
Options:
(A) circle
(B) heptagon",False,True,feature,"['line_only', 'multi_subpath', 'n_vertices_8', 'open_path']",[],['line_only'],no_activation,False
